Date,Anosmie,Lungenentzündung,COVID-19,SARS-CoV-2,Husten,Fieber,Hydroxychloroquin,Amoxicillin,Azithromycin,Pulsoxymetrie,Rhinitis,Beatmungsgerät,CoronaVac,SARS-CoV-2-Impfstoff,Sputnik_V
2019-09-01,165,564,0.0,0.0,57,447,45,476,159,184,153,50,0.0,0.0,0.0
2019-09-08,810,4624,0.0,0.0,476,3352,394,3242,1880,1459,1294,362,0.0,0.0,0.0
2019-09-15,823,5263,0.0,0.0,457,3612,449,3426,2111,1767,1349,465,0.0,0.0,0.0
2019-09-22,901,5243,0.0,0.0,583,3727,427,3572,2314,1657,1617,336,0.0,0.0,0.0
2019-09-29,788,5610,0.0,0.0,632,3836,443,4334,2325,1708,1614,320,0.0,0.0,0.0
2019-10-06,733,5612,0.0,0.0,648,3687,393,4286,2233,1741,1652,404,0.0,0.0,0.0
2019-10-13,654,6073,0.0,0.0,873,4110,450,5053,2547,1687,1733,434,0.0,0.0,0.0
2019-10-20,723,6094,0.0,0.0,819,4428,492,4630,2460,2018,1677,407,0.0,0.0,0.0
2019-10-27,645,5691,0.0,0.0,846,4069,496,4779,2454,1903,1575,472,0.0,0.0,0.0
2019-11-03,610,5204,0.0,0.0,811,3971,471,4753,2293,1768,1633,355,0.0,0.0,0.0
2019-11-10,687,5733,0.0,0.0,908,4391,520,4674,2571,1946,1724,587,0.0,0.0,0.0
2019-11-17,592,6136,0.0,0.0,859,4414,561,4568,2687,1884,1716,414,0.0,0.0,0.0
2019-11-24,641,5827,0.0,0.0,871,4285,470,4807,2555,1836,1697,387,0.0,0.0,0.0
2019-12-01,614,5392,0.0,0.0,848,4164,529,4778,2482,1912,1683,389,0.0,0.0,0.0
2019-12-08,619,5591,0.0,0.0,813,4160,482,4414,2584,1634,1619,399,0.0,0.0,0.0
2019-12-15,627,5570,0.0,0.0,860,4387,477,4738,2764,1818,1680,362,0.0,0.0,0.0
2019-12-22,599,5477,0.0,0.0,831,4258,473,5053,3086,1623,1669,369,0.0,0.0,0.0
2019-12-29,585,5669,0.0,0.0,700,3825,321,4598,2340,1560,1531,277,0.0,0.0,0.0
2020-01-05,578,6389,0.0,0.0,800,4302,310,4586,2731,1541,1776,336,0.0,0.0,0.0
2020-01-12,711,6916,0.0,0.0,902,4980,543,4759,3092,2076,1863,436,0.0,0.0,0.0
2020-01-19,673,7101,0.0,0.0,820,5281,604,4822,3024,2093,1848,429,0.0,0.0,0.0
2020-01-26,889,11617,0.0,0.0,885,6132,590,4252,2859,2071,1916,421,0.0,0.0,0.0
2020-02-02,645,13863,0.0,0.0,981,8002,573,4127,3143,2005,2014,481,0.0,0.0,0.0
2020-02-09,600,10445,0.0,0.0,865,6955,513,4075,2910,1932,1929,443,0.0,0.0,0.0
2020-02-16,622,9437,1434.0,43235.0,861,6233,497,4088,2863,1948,1803,480,0.0,0.0,0.0
2020-02-23,546,8613,2128.0,50789.0,761,6077,761,3921,2818,1781,1784,463,0.0,0.0,0.0
2020-03-01,641,17536,32098.0,298898.0,1145,9887,1515,4491,3489,1910,2621,879,0.0,0.0,0.0
2020-03-08,624,15468,17083.0,222364.0,1268,10719,1099,4444,3345,1895,2617,1039,0.0,0.0,0.0
2020-03-15,610,30816,120255.0,416722.0,2217,20554,3197,4429,3156,2583,3640,8822,0.0,0.0,0.0
2020-03-22,1296,31094,247259.0,432218.0,3051,26117,24483,3846,10525,2941,3288,22273,0.0,140.0,0.0
2020-03-29,1843,21875,161306.0,253673.0,2020,16941,21651,3654,8017,3471,2613,30554,0.0,26.0,0.0
2020-04-05,1388,13719,124966.0,169116.0,1435,14120,16276,2886,4344,3311,2308,17098,0.0,13.0,0.0
2020-04-12,1152,8942,82958.0,101933.0,1012,7798,24489,2503,3240,2993,1974,7409,0.0,18.0,0.0
2020-04-19,1149,7281,90780.0,70392.0,799,5731,13271,2462,2343,3318,2564,4218,0.0,65.0,0.0
2020-04-26,1196,6365,78710.0,61685.0,871,6115,12820,2395,2461,4407,2561,3031,0.0,53.0,0.0
2020-05-03,1078,5580,69142.0,52942.0,905,5656,5708,2463,1477,3500,2181,2252,0.0,49.0,0.0
2020-05-10,927,4725,60764.0,46232.0,739,5751,4396,2410,1183,3106,1678,1468,0.0,31.0,0.0
2020-05-17,901,4308,54799.0,41448.0,674,4840,3633,2282,1447,2531,1658,1337,0.0,6252.0,0.0
2020-05-24,806,3691,39783.0,30337.0,541,3512,32949,2287,1106,2149,1421,903,0.0,7090.0,0.0
2020-05-31,698,3254,34922.0,23819.0,474,3090,8601,2326,897,3055,1381,816,0.0,3345.0,0.0
2020-06-07,660,3188,27639.0,19137.0,570,3042,13814,2158,732,2414,1293,749,0.0,2988.0,0.0
2020-06-14,713,2961,23448.0,16485.0,468,3205,3332,2281,714,1977,1172,665,0.0,2954.0,0.0
2020-06-21,839,2913,22745.0,19249.0,899,4473,3391,2279,851,1866,1145,671,0.0,3286.0,0.0
2020-06-28,591,2669,26212.0,16665.0,409,4186,2934,7232,1766,1766,1080,707,0.0,2973.0,0.0
2020-07-05,597,2906,22229.0,16732.0,450,4386,3058,6615,1835,1858,1249,747,0.0,2947.0,0.0
2020-07-12,687,3129,22100.0,16378.0,444,4969,5150,2566,1161,2001,1360,720,0.0,2878.0,0.0
2020-07-19,651,3260,21216.0,15777.0,446,4317,2029,2574,1105,1974,1388,913,0.0,3084.0,0.0
2020-07-26,632,2739,20014.0,14972.0,478,4319,2196,2617,1077,1857,1417,633,0.0,2794.0,0.0
2020-08-02,653,2834,22911.0,17191.0,440,4545,11931,2509,1363,1940,1334,930,0.0,3716.0,0.0
2020-08-09,561,2657,21553.0,16714.0,394,3909,4581,2341,1054,1792,1149,706,0.0,3313.0,0.0
2020-08-16,663,2736,24298.0,17741.0,422,4327,3322,2419,961,1565,1039,704,0.0,6194.0,872.0
2020-08-23,622,3002,23667.0,18707.0,437,5348,2475,2398,906,1690,1141,646,0.0,3939.0,336.0
2020-08-30,620,2778,22295.0,19759.0,548,7598,2169,2302,1096,1868,1458,661,0.0,3506.0,133.0
2020-09-06,568,2840,20282.0,17101.0,474,6892,1791,2336,859,1707,1506,606,0.0,4296.0,220.0
2020-09-13,608,2953,18065.0,14890.0,548,6151,1379,2379,922,1706,1593,609,0.0,3702.0,114.0
2020-09-20,611,2993,21169.0,16547.0,509,5734,2013,2353,879,2611,1553,630,0.0,3315.0,182.0
2020-09-27,622,3142,20808.0,16733.0,547,5357,2267,2620,977,2236,1881,731,0.0,3023.0,121.0
2020-10-04,649,3150,23713.0,19148.0,1070,5394,3390,2616,998,2383,1604,683,0.0,3191.0,133.0
2020-10-11,593,3708,30030.0,20761.0,637,6235,2299,2619,1111,2864,2240,785,0.0,3549.0,93.0
2020-10-18,714,4280,32595.0,25575.0,735,5943,1813,2395,1056,2673,2741,899,0.0,4378.0,124.0
2020-10-25,861,4644,40754.0,30031.0,881,8421,2143,2465,1087,2697,2330,1026,0.0,4498.0,115.0
2020-11-01,1046,4551,42790.0,36623.0,951,6691,1919,2364,1196,2575,2160,1224,0.0,4242.0,91.0
2020-11-08,1041,4198,29776.0,27865.0,865,6154,1810,2333,1212,2603,2192,1163,0.0,3082.0,107.0
2020-11-15,1207,4230,30627.0,26486.0,820,6044,1754,2400,1292,2722,1937,1105,0.0,10898.0,280.0
