,wiki_y,wiki_Профилактика_COVID-19,wiki_Новый_коронавирус,wiki_Левофлоксацин,wiki_Моксифлоксацин,wiki_Вакцина_против_COVID-19
2020-01-26,0,0.0,0.0,2539.0,686.0,0.0
2020-02-02,2,0.0,0.0,2567.0,825.0,0.0
2020-02-09,0,0.0,0.0,2585.0,835.0,0.0
2020-02-16,0,0.0,0.0,2388.0,841.0,0.0
2020-02-23,0,0.0,0.0,2401.0,761.0,0.0
2020-03-01,0,0.0,0.0,2624.0,781.0,0.0
2020-03-08,15,0.0,0.0,2300.0,744.0,0.0
2020-03-15,46,0.0,0.0,2391.0,852.0,0.0
2020-03-22,304,0.0,0.0,2929.0,967.0,501.0
2020-03-29,1167,0.0,0.0,2964.0,1172.0,4908.0
2020-04-05,3855,0.0,0.0,2834.0,1054.0,4770.0
2020-04-12,10381,0.0,0.0,2783.0,833.0,3654.0
2020-04-19,27083,0.0,0.0,2773.0,865.0,4580.0
2020-04-26,38096,0.0,0.0,3245.0,894.0,3363.0
2020-05-03,53738,0.0,0.0,3609.0,875.0,2759.0
2020-05-10,75001,0.0,0.0,3893.0,842.0,4001.0
2020-05-17,72064,0.0,0.0,3559.0,756.0,3223.0
2020-05-24,62729,0.0,320.0,3324.0,768.0,3748.0
2020-05-31,61362,296.0,170.0,3249.0,715.0,3759.0
2020-06-07,61230,249.0,389.0,3031.0,712.0,3314.0
2020-06-14,61194,260.0,135.0,2824.0,555.0,2619.0
2020-06-21,55612,210.0,115.0,2754.0,640.0,3248.0
2020-06-28,49684,172.0,99.0,3126.0,727.0,3328.0
2020-07-05,46720,275.0,93.0,4183.0,902.0,3160.0
2020-07-12,45753,305.0,99.0,4541.0,920.0,3625.0
2020-07-19,44275,274.0,102.0,4064.0,876.0,4552.0
2020-07-26,40762,327.0,63.0,3436.0,745.0,4382.0
2020-08-02,38204,356.0,70.0,3112.0,665.0,4669.0
2020-08-09,36441,252.0,55.0,2578.0,571.0,4624.0
2020-08-16,35001,234.0,61.0,2352.0,590.0,18501.0
2020-08-23,33609,258.0,62.0,2373.0,626.0,11593.0
2020-08-30,33142,352.0,39.0,2495.0,549.0,7950.0
2020-09-06,34758,329.0,68.0,2447.0,610.0,7267.0
2020-09-13,36796,373.0,59.0,2719.0,680.0,8554.0
2020-09-20,39934,327.0,59.0,2940.0,652.0,8334.0
2020-09-27,47315,390.0,39.0,3413.0,764.0,8837.0
2020-10-04,62766,471.0,60.0,4206.0,909.0,8239.0
2020-10-11,82648,640.0,86.0,5464.0,1070.0,9791.0
2020-10-18,99137,893.0,149.0,7340.0,1473.0,11222.0
2020-10-25,112828,938.0,165.0,8968.0,2001.0,9975.0
2020-11-01,120996,1091.0,173.0,7702.0,2052.0,8367.0
2020-11-08,135772,946.0,187.0,7020.0,2085.0,7113.0
2020-11-15,149729,1008.0,182.0,6055.0,1863.0,13285.0
2020-11-22,161709,837.0,189.0,5671.0,1820.0,13461.0
2020-11-29,178032,700.0,146.0,5339.0,1632.0,12398.0
2020-12-06,189273,553.0,138.0,5195.0,1662.0,17214.0
2020-12-13,190536,833.0,225.0,5543.0,1691.0,32128.0
2020-12-20,191426,975.0,281.0,5737.0,1317.0,22132.0
2020-12-27,198847,813.0,317.0,5661.0,1357.0,20808.0
2021-01-03,183771,560.0,164.0,4754.0,1057.0,19216.0
2021-01-10,162972,564.0,171.0,4330.0,973.0,22624.0
2021-01-17,163664,628.0,153.0,4563.0,1043.0,31333.0
2021-01-24,148868,505.0,92.0,3601.0,856.0,29723.0
2021-01-31,129101,473.0,84.0,3045.0,843.0,22259.0
2021-02-07,115113,456.0,139.0,3066.0,838.0,26014.0
2021-02-14,103045,370.0,94.0,2776.0,737.0,23086.0
2021-02-21,91486,333.0,93.0,2978.0,794.0,23182.0
2021-02-28,80408,383.0,98.0,2793.0,813.0,26705.0
2021-03-07,75863,373.0,84.0,2735.0,905.0,29599.0
2021-03-14,67118,371.0,81.0,2538.0,921.0,29356.0
2021-03-21,65650,426.0,87.0,2981.0,992.0,30801.0
2021-03-28,62296,510.0,119.0,3101.0,1075.0,29951.0
2021-04-04,60249,421.0,106.0,3027.0,1010.0,25874.0
2021-04-11,59633,614.0,89.0,3118.0,1021.0,25596.0
2021-04-18,59835,361.0,80.0,2830.0,886.0,23949.0
2021-04-25,24655,265.0,72.0,2476.0,809.0,19584.0
