,yandex_y,yandex_Дексаметазон,yandex_Коронавир,yandex_наличие антител М,yandex_Кислород в крови,yandex_ковид,yandex_бессонница,yandex_Уровень кислорода в крови,yandex_Pfizer,yandex_регистр ковид,"yandex_Купить амоксициллин, азитромицин, левофлоксацин, моксифлоксацин"
2020-04-26,38096,81676,2337,0,61636,331477,79308,7829,1662,348,800
2020-05-03,53738,83087,1919,0,76079,363853,73460,11268,1702,642,739
2020-05-10,75001,76738,1613,0,59573,382117,70766,9631,1741,957,657
2020-05-17,72064,80692,1417,0,67478,437330,68885,8528,1738,1067,622
2020-05-24,62729,81159,1253,0,67439,476626,68328,7836,1569,1502,687
2020-05-31,61362,79386,1081,0,48905,465947,65817,6689,1839,1407,561
2020-06-07,61230,77708,1012,115,42398,475287,65875,6343,2785,1415,615
2020-06-14,61194,75502,881,90,37111,442380,60054,5590,1548,1497,490
2020-06-21,55612,203716,1085,100,35062,470149,68909,5470,1630,1766,459
2020-06-28,49684,98381,787,73,29552,445914,57446,4482,1737,1508,458
2020-07-05,46720,86486,703,85,26461,426455,56040,4158,2572,1428,484
2020-07-12,45753,84798,1510,76,24419,459204,53597,4214,1735,1421,508
2020-07-19,44275,82878,856,66,24416,447742,52935,4182,1736,1336,506
2020-07-26,40762,82294,618,59,22991,445177,53572,3595,3358,1389,485
2020-08-02,38204,81500,581,33,22181,458393,55745,3676,2409,1424,620
2020-08-09,36441,84035,577,63,21564,472097,58253,3904,1570,1444,624
2020-08-16,35001,83597,526,43,20857,452522,57837,4120,1466,1393,634
2020-08-23,33609,84334,342,35,18585,451544,57249,3689,1521,1234,727
2020-08-30,33142,82614,376,50,17944,502359,55279,3450,3652,1130,616
2020-09-06,34758,82118,362,44,18225,518009,53091,3269,2463,1104,687
2020-09-13,36796,86929,302,38,21258,399970,55926,3737,2233,1305,722
2020-09-20,39934,89366,2248,68,29594,551550,56381,5915,2549,1402,730
2020-09-27,47315,94879,2535,55,36464,731156,55986,6150,2227,1516,910
2020-10-04,62766,107329,3625,97,56338,964725,57161,10833,2012,1306,984
2020-10-11,82648,149339,6137,92,119807,1237213,62642,25018,2318,1516,1150
2020-10-18,99137,324431,8938,111,141573,1548005,67949,28287,2839,1992,1326
2020-10-25,112828,317177,10235,171,160933,1634139,70303,31518,2917,2916,2417
2020-11-01,120996,332314,12154,228,178485,1718726,77378,31824,3053,3476,3177
2020-11-08,135772,343932,9807,261,172022,1604938,88001,30069,2799,3123,3611
2020-11-15,149729,386358,9280,596,181988,1592756,89814,32460,36523,3498,3205
2020-11-22,161709,359795,9612,889,166098,1494485,83807,26876,20021,4191,2632
2020-11-29,178032,368709,9832,925,174401,1463215,91274,26890,14996,5496,2247
2020-12-06,189273,389112,13218,740,165214,1498743,90769,24274,19788,6503,2186
2020-12-13,190536,399688,12832,742,155252,1481387,87213,22378,32263,6091,1989
2020-12-20,191426,384642,12371,840,163198,1417889,93492,22655,25096,6572,1969
2020-12-27,198847,350471,10309,807,146479,1414222,86842,20488,18149,7765,1619
2021-01-03,183771,263546,7312,281,96224,1110336,66937,16868,18246,4691,1183
2021-01-10,162972,281339,6289,233,95932,1164888,113265,17325,26819,3662,1424
2021-01-17,163664,312067,7937,348,99925,1414066,116791,15833,60832,6760,1334
2021-01-24,148868,243240,7039,416,82947,1346983,88119,11703,24202,6965,1016
2021-01-31,129101,204732,6305,415,77985,1203797,91692,11336,14692,7669,1049
2021-02-07,115113,181758,5663,387,68974,1122520,86430,9627,16718,6582,1065
2021-02-14,103045,165306,4897,317,65597,1065649,77229,8620,12964,6105,1089
2021-02-21,91486,161962,4896,206,55196,993587,71298,7436,11445,7974,993
2021-02-28,80408,133986,5268,170,46739,837182,69766,6576,10398,4532,981
2021-03-07,75863,133585,5819,166,47478,889560,73374,6743,11836,4730,965
2021-03-14,67118,126067,5329,198,46406,832612,68337,6406,9513,3850,1024
2021-03-21,65650,137059,5190,186,44609,867204,72164,6084,8713,5164,1037
2021-03-28,62296,130502,5174,208,40208,935455,69861,5862,7617,4501,1024
2021-04-04,60249,129398,5848,225,40293,1020027,66217,5678,6962,5510,971
2021-04-11,59633,137744,5726,184,43107,1056705,67218,5344,9203,5077,1035
2021-04-18,59835,134828,5660,162,38601,992157,64032,5156,8182,5406,983
