,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Аносмия,28.0,231.0,241.0,267.0,289.0,328.0,280.0,289.0,273.0,264.0,348.0,352.0,312.0,301.0,318.0,300.0,318.0,290.0,255.0,358.0,373.0,399.0,316.0,319.0,355.0,388.0,456.0,400.0,345.0,2353.0,2635.0,1199.0,1692.0,1978.0,1890.0,2163.0,2242.0,1822.0,1411.0,1328.0,1563.0,1557.0,1287.0,1675.0,1891.0,1776.0,1460.0,1421.0,1227.0,1034.0,965.0,981.0,996.0,1119.0,1373.0,1414.0,1654.0,2099.0,2507.0,3038.0,3613.0,3488.0,3587.0,3151.0,3203.0,3042.0,2592.0,2530.0,2212.0,2042.0,1739.0,1645.0,1727.0,1367.0,1218.0,1070.0,1205.0,932.0,1183.0,1086.0,1234.0,1231.0,1034.0,1038.0,1119.0,998.0,896.0
Пневмония,1447.0,14620.0,16992.0,23795.0,21814.0,21101.0,21378.0,20870.0,20465.0,19671.0,19096.0,22337.0,22265.0,21755.0,22370.0,21149.0,28291.0,19046.0,16948.0,23782.0,29661.0,82799.0,73912.0,43149.0,33590.0,31911.0,36703.0,37016.0,59881.0,86810.0,87293.0,94794.0,75508.0,61024.0,49145.0,34348.0,52830.0,32504.0,23244.0,18707.0,15674.0,14096.0,16045.0,18164.0,22711.0,25172.0,21333.0,14644.0,10825.0,9035.0,7763.0,7723.0,7533.0,9566.0,11245.0,15230.0,17428.0,20225.0,23179.0,27969.0,38826.0,41461.0,30394.0,27077.0,24452.0,22784.0,21636.0,22008.0,21812.0,17968.0,12128.0,12976.0,16179.0,13437.0,12449.0,11678.0,11457.0,12012.0,11598.0,12378.0,11152.0,11674.0,11643.0,11526.0,11521.0,10623.0,9615.0
Симптом_«матового_стекла»,31.0,469.0,531.0,584.0,619.0,639.0,614.0,547.0,646.0,638.0,626.0,631.0,677.0,665.0,707.0,650.0,695.0,579.0,405.0,527.0,710.0,693.0,962.0,854.0,1508.0,1155.0,1243.0,1282.0,4642.0,5293.0,3314.0,3545.0,32867.0,9637.0,10544.0,9139.0,7684.0,8840.0,5789.0,4638.0,4237.0,4651.0,5037.0,5422.0,5579.0,6488.0,5571.0,4688.0,3847.0,3535.0,2989.0,2633.0,2568.0,2804.0,2846.0,3390.0,4303.0,5551.0,6476.0,7818.0,8457.0,8573.0,8368.0,6859.0,6097.0,5662.0,5626.0,5281.0,4679.0,3419.0,2318.0,2241.0,2440.0,1816.0,1596.0,1532.0,1337.0,1270.0,1329.0,1253.0,1258.0,1488.0,1552.0,1673.0,1634.0,1489.0,1285.0
COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,372.0,1611.0,2097.0,3874.0,6102.0,8202.0,11728.0,6807.0,5484.0,70490.0,93936.0,77006.0,60569.0,47428.0,40820.0,34381.0,29175.0,30551.0,26993.0,27027.0,25062.0,22918.0,20347.0,19470.0,18161.0,16919.0,15390.0,17160.0,20045.0,20832.0,21364.0,24189.0,27935.0,35720.0,42359.0,45071.0,44797.0,41842.0,41851.0,48802.0,36972.0,36720.0,37302.0,34720.0,31610.0,25928.0,27639.0,32334.0,25496.0,25556.0,21895.0,19803.0,18205.0,18419.0,19558.0,20554.0,21068.0,21147.0,22436.0,21796.0,19064.0,16209.0
Тестирование_на_коронавирусную_инфекцию_COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7095.0,24461.0,25000.0,22325.0,27384.0,24781.0,25828.0,26217.0,26086.0,21683.0,17531.0,14813.0,11370.0,11373.0,9980.0,7843.0,7125.0,7483.0,6187.0,5866.0,5718.0,5495.0,5301.0,5389.0,5163.0,4847.0,4714.0,4413.0,4278.0,5338.0,6019.0,5471.0,5534.0,4918.0,4740.0,4379.0,4421.0,2764.0,3852.0,3572.0,3118.0,2500.0,2457.0,2366.0,1983.0,1991.0,1784.0,1541.0,1310.0,1528.0,1616.0,1759.0,1940.0,1921.0,1778.0,1839.0,1559.0,1353.0
КТ_грудной_клетки,54.0,596.0,632.0,747.0,793.0,795.0,772.0,831.0,821.0,764.0,826.0,911.0,837.0,866.0,822.0,869.0,821.0,722.0,564.0,666.0,880.0,928.0,864.0,889.0,736.0,742.0,757.0,642.0,640.0,684.0,731.0,817.0,1975.0,2369.0,2668.0,1754.0,1560.0,1314.0,1481.0,1341.0,1083.0,927.0,1166.0,1644.0,1796.0,1708.0,1413.0,1426.0,1011.0,901.0,866.0,770.0,879.0,844.0,985.0,931.0,1363.0,1590.0,2015.0,2240.0,2773.0,2528.0,2316.0,2128.0,1909.0,1813.0,1594.0,1450.0,1103.0,885.0,683.0,857.0,722.0,641.0,537.0,739.0,551.0,555.0,472.0,653.0,445.0,545.0,515.0,660.0,580.0,486.0,374.0
Профилактика_COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,249.0,260.0,210.0,172.0,275.0,305.0,274.0,327.0,356.0,252.0,234.0,258.0,352.0,329.0,373.0,327.0,390.0,471.0,640.0,893.0,938.0,1091.0,946.0,1008.0,837.0,700.0,553.0,833.0,975.0,813.0,560.0,564.0,628.0,505.0,473.0,456.0,370.0,333.0,383.0,373.0,371.0,426.0,510.0,421.0,614.0,361.0,265.0
Ремдесивир,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13922.0,7919.0,7090.0,22406.0,8981.0,37001.0,12674.0,8245.0,5772.0,4155.0,2149.0,1642.0,1797.0,5520.0,30242.0,8946.0,5020.0,7971.0,4252.0,2422.0,1733.0,1267.0,1282.0,4969.0,2949.0,2768.0,4400.0,17926.0,14091.0,15928.0,12701.0,7927.0,6247.0,6604.0,10146.0,3854.0,4234.0,5515.0,4254.0,3149.0,3030.0,2438.0,3073.0,2039.0,2439.0,1463.0,2199.0,1548.0,1498.0,1598.0,1903.0,2770.0,3262.0,3263.0,4136.0,3978.0,3109.0
Фавипиравир,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031.0,3311.0,5391.0,3450.0,7324.0,7278.0,21168.0,25473.0,13676.0,5649.0,6010.0,16674.0,12182.0,8777.0,5121.0,4064.0,3838.0,2692.0,1872.0,1663.0,1925.0,1869.0,24321.0,33810.0,11874.0,14647.0,18830.0,11809.0,11033.0,9024.0,8810.0,9659.0,8127.0,8468.0,8748.0,8136.0,7463.0,4935.0,4973.0,5633.0,4089.0,2914.0,2381.0,2549.0,2429.0,2079.0,2306.0,2371.0,3052.0,3426.0,3505.0,3356.0,2982.0,2651.0
Гидроксихлорохин,20.0,153.0,196.0,192.0,221.0,233.0,194.0,245.0,205.0,218.0,183.0,204.0,231.0,215.0,210.0,194.0,237.0,186.0,146.0,181.0,195.0,256.0,254.0,278.0,244.0,302.0,490.0,459.0,1671.0,18653.0,28103.0,22408.0,15085.0,25827.0,9672.0,7384.0,6511.0,5783.0,10513.0,5301.0,5208.0,3816.0,3225.0,2402.0,2752.0,2972.0,2946.0,2031.0,3262.0,2379.0,2209.0,1871.0,1504.0,1444.0,1398.0,1573.0,1936.0,2212.0,2503.0,2976.0,3136.0,4043.0,2302.0,2363.0,2351.0,2493.0,2900.0,3978.0,3187.0,2704.0,1902.0,1901.0,2068.0,1717.0,1651.0,1387.0,1372.0,1105.0,1081.0,1141.0,1070.0,1284.0,1300.0,1199.0,1122.0,1062.0,991.0
